,Name,Applicants total,Admissions total,Enrolled total,Percent of freshmen submitting SAT scores,Percent of freshmen submitting ACT scores,SAT Critical Reading 25th percentile score,SAT Critical Reading 75th percentile score,SAT Math 25th percentile score,SAT Math 75th percentile score,SAT Writing 25th percentile score,SAT Writing 75th percentile score,ACT Composite 25th percentile score,ACT Composite 75th percentile score,State abbreviation,Geographic region,Level of institution,Control of institution,"Graduation rate - Bachelor degree within 6 years, total",Percent of undergraduate enrollment that are women,CITY,STABBR,ZIP,LONGITUD,LATITUDE
764,Cooper Union for the Advancement of Science and Art,3193.0,247.0,186.0,86.0,12.0,610.0,710.0,610.0,780.0,610.0,730.0,29.0,33.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,82.0,36.0,New York,NY,10003-7120,-73.991609,40.728148
765,Cornell University,39999.0,6222.0,3223.0,82.0,39.0,640.0,740.0,680.0,780.0,650.0,750.0,30.0,34.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,93.0,51.0,Ithaca,NY,14853,-76.48308399999999,42.4472
766,CUNY Bernard M Baruch College,19863.0,4931.0,1185.0,91.0,0.0,530.0,630.0,600.0,690.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,67.0,48.0,New York,NY,10010,-73.983417,40.740238
767,CUNY Brooklyn College,19843.0,6346.0,1148.0,89.0,0.0,480.0,580.0,520.0,620.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,51.0,59.0,Brooklyn,NY,11210,-73.949898,40.631516999999995
768,College of Staten Island CUNY,9785.0,9761.0,2556.0,77.0,0.0,440.0,530.0,470.0,560.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,51.0,55.0,Staten Island,NY,10314,-74.14849,40.601831
769,CUNY City College,22171.0,7560.0,1397.0,93.0,0.0,460.0,590.0,530.0,640.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,42.0,52.0,New York,NY,10031,-73.948542,40.819846000000005
770,CUNY Graduate School and University Center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,0.0,68.0,New York,NY,10016,-73.983822,40.748612
771,CUNY Hunter College,30758.0,9140.0,1971.0,94.0,0.0,520.0,620.0,540.0,640.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,50.0,65.0,New York,NY,10065,-73.964795,40.768669
772,CUNY John Jay College of Criminal Justice,13753.0,4683.0,1908.0,93.0,0.0,420.0,510.0,440.0,530.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,43.0,56.0,New York,NY,10019,-73.98841,40.770351
773,CUNY Lehman College,15518.0,3612.0,551.0,84.0,0.0,460.0,530.0,480.0,570.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,37.0,68.0,Bronx,NY,10468,-73.895379,40.872962
774,CUNY Medgar Evers College,7563.0,6913.0,1045.0,46.0,0.0,360.0,450.0,390.0,475.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,15.0,74.0,Brooklyn,NY,11225,-73.957076,40.666256
775,CUNY New York City College of Technology,16870.0,12957.0,2861.0,70.0,0.0,390.0,490.0,453.0,540.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,25.0,44.0,Brooklyn,NY,11201,-73.98785600000001,40.695483
776,CUNY Queens College,19032.0,7045.0,1449.0,86.0,0.0,480.0,570.0,540.0,610.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,56.0,56.0,Queens,NY,11367,-73.816098,40.735182
777,CUNY York College,13319.0,4675.0,1111.0,83.0,0.0,400.0,470.0,430.0,510.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,26.0,65.0,Jamaica,NY,11451,-73.796313,40.701576
778,D'Youville College,1171.0,926.0,258.0,92.0,47.0,480.0,580.0,470.0,560.0,450.0,540.0,20.0,25.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,41.0,73.0,Buffalo,NY,14201-1084,-78.89086800000001,42.902636
779,Daemen College,3061.0,1489.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,49.0,73.0,Amherst,NY,14226-3592,-78.788111,42.965605
780,Dominican College of Blauvelt,1594.0,1146.0,286.0,88.0,11.0,410.0,490.0,400.0,480.0,390.0,480.0,18.0,23.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,36.0,66.0,Orangeburg,NY,10962-1210,-73.95055500000001,41.047419
781,Elmira College,2324.0,1854.0,324.0,92.0,37.0,470.0,570.0,480.0,580.0,0.0,0.0,20.0,27.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,63.0,72.0,Elmira,NY,14901,-76.813459,42.0961
782,Fashion Institute of Technology,4449.0,1995.0,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,0.0,85.0,New York,NY,10001-5992,-73.994781,40.74731
783,Fordham University,36189.0,17055.0,1967.0,82.0,34.0,570.0,670.0,590.0,680.0,580.0,680.0,26.0,30.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,81.0,54.0,Bronx,NY,10458,-73.882705,40.859353999999996
784,Hamilton College,5017.0,1364.0,491.0,58.0,25.0,640.0,730.0,660.0,740.0,650.0,730.0,29.0,33.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,93.0,51.0,Clinton,NY,13323,-75.40819499999999,43.050245000000004
785,Hartwick College,5392.0,4542.0,528.0,50.0,15.0,500.0,620.0,510.0,610.0,480.0,600.0,23.0,27.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,57.0,59.0,Oneonta,NY,13820-4020,-75.07199399999999,42.457599
786,Hilbert College,865.0,703.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,39.0,55.0,Hamburg,NY,14075-1597,-78.820257,42.75464
787,Hobart William Smith Colleges,4385.0,2168.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,79.0,54.0,Geneva,NY,14456,-76.985516,42.858131
788,Hofstra University,22733.0,13346.0,1488.0,72.0,27.0,530.0,630.0,540.0,630.0,0.0,0.0,23.0,28.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,62.0,53.0,Hempstead,NY,11549,-73.60078,40.715959000000005
789,Houghton College,807.0,735.0,223.0,83.0,38.0,490.0,630.0,490.0,605.0,470.0,600.0,21.0,28.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,73.0,64.0,Houghton,NY,14744,-78.155426,42.426137
790,Iona College,5911.0,5445.0,922.0,83.0,16.0,450.0,550.0,450.0,560.0,0.0,0.0,20.0,24.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,63.0,54.0,New Rochelle,NY,10801-1890,-73.788046,40.925725
791,Ithaca College,15658.0,10429.0,1789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,76.0,56.0,Ithaca,NY,14850-7002,-76.494136,42.422154
792,Keuka College,1375.0,1207.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,48.0,77.0,Keuka Park,NY,14478,-77.090562,42.615253
793,Le Moyne College,5924.0,3667.0,622.0,93.0,45.0,480.0,570.0,500.0,600.0,0.0,0.0,21.0,26.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,74.0,59.0,Syracuse,NY,13214-1301,-76.090435,43.049192
794,Manhattan College,7268.0,4809.0,757.0,84.0,15.0,480.0,580.0,490.0,610.0,480.0,580.0,23.0,27.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,74.0,44.0,Riverdale,NY,10471-4098,-73.901893,40.889756
795,Manhattanville College,3930.0,3016.0,476.0,43.0,0.0,480.0,590.0,490.0,590.0,470.0,580.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,58.0,64.0,Purchase,NY,10577,-73.715645,41.032187
796,Marist College,10351.0,3876.0,1149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,80.0,59.0,Poughkeepsie,NY,12601,-73.935484,41.720937
797,Marymount Manhattan College,4147.0,3095.0,399.0,84.0,28.0,480.0,590.0,450.0,560.0,470.0,590.0,21.0,26.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,44.0,77.0,New York,NY,10021-4597,-73.959767,40.768786999999996
798,Medaille College,1505.0,817.0,443.0,83.0,19.0,390.0,480.0,370.0,490.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,50.0,67.0,Buffalo,NY,14214-2695,-78.855941,42.92856
799,Mercy College,6546.0,3747.0,833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,35.0,69.0,Dobbs Ferry,NY,10522,-73.874447,41.021626
800,Molloy College,3242.0,2356.0,501.0,90.0,29.0,480.0,560.0,490.0,580.0,470.0,570.0,20.0,25.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,66.0,74.0,Rockville Centre,NY,11571-5002,-73.626183,40.685941
801,Mount Saint Mary College,3551.0,3054.0,449.0,92.0,24.0,450.0,540.0,460.0,550.0,0.0,0.0,20.0,24.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,52.0,70.0,Newburgh,NY,12550,-74.01265500000001,41.513872
802,College of Mount Saint Vincent,2416.0,1766.0,386.0,88.0,12.0,420.0,500.0,410.0,500.0,420.0,510.0,17.0,23.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,52.0,72.0,Bronx,NY,10471-1093,-73.908887,40.913657
803,Nazareth College,3838.0,2625.0,423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,68.0,73.0,Rochester,NY,14618-3790,-77.518579,43.101576
804,The New School,4978.0,3315.0,1038.0,52.0,15.0,505.0,635.0,510.0,605.0,0.0,0.0,22.0,28.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,65.0,72.0,New York,NY,10011-8871,-73.997114,40.735508
805,New York University,57845.0,15066.0,5207.0,78.0,22.0,620.0,720.0,630.0,740.0,640.0,730.0,28.0,32.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,84.0,60.0,New York,NY,10012-1091,-73.997264,40.729452
806,Niagara University,3716.0,2465.0,700.0,94.0,40.0,460.0,550.0,470.0,570.0,0.0,0.0,21.0,25.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,65.0,58.0,Niagara University,NY,14109,-79.036689,43.137279
807,New York Institute of Technology,5433.0,4024.0,841.0,87.0,15.0,440.0,550.0,490.0,600.0,0.0,0.0,20.0,24.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,47.0,37.0,Old Westbury,NY,11568-8000,-73.6078,40.812447
808,Nyack College,700.0,677.0,264.0,72.0,13.0,400.0,535.0,370.0,520.0,0.0,0.0,17.0,22.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,42.0,61.0,New York,NY,10004,-74.01560500000001,40.705798
809,Paul Smiths College of Arts and Science,970.0,725.0,240.0,78.0,20.0,450.0,530.0,430.0,530.0,0.0,0.0,20.0,25.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,37.0,34.0,Paul Smiths,NY,12970-0265,-74.252675,44.433965
810,Rensselaer Polytechnic Institute,16150.0,6654.0,1411.0,74.0,26.0,620.0,720.0,670.0,768.0,0.0,0.0,27.0,31.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,85.0,30.0,Troy,NY,12180-3590,-73.67664599999999,42.729978
811,Roberts Wesleyan College,814.0,591.0,206.0,89.0,36.0,450.0,590.0,470.0,580.0,440.0,560.0,20.0,25.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,61.0,70.0,Rochester,NY,14624,-77.798498,43.125755
812,Rochester Institute of Technology,16354.0,9839.0,2784.0,66.0,34.0,540.0,640.0,570.0,680.0,520.0,630.0,25.0,31.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,66.0,32.0,Rochester,NY,14623-5603,-77.67385999999999,43.084188
813,University of Rochester,17244.0,6153.0,1472.0,67.0,35.0,600.0,700.0,650.0,750.0,620.0,700.0,29.0,32.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,85.0,52.0,Rochester,NY,14627-0011,-77.631202,43.126397
814,St Bonaventure University,2754.0,2203.0,438.0,92.0,61.0,460.0,580.0,470.0,600.0,450.0,570.0,21.0,27.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,67.0,51.0,Saint Bonaventure,NY,14778-9800,-78.481107,42.080191
815,St Francis College,2815.0,1811.0,568.0,95.0,0.0,430.0,510.0,420.0,520.0,420.0,520.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,52.0,56.0,Brooklyn Heights,NY,11201-4305,-73.992164,40.693228000000005
816,St Lawrence University,4424.0,2054.0,631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,80.0,55.0,Canton,NY,13617,-75.161343,44.589878999999996
817,The College of Saint Rose,4651.0,3605.0,621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,66.0,66.0,Albany,NY,12203-1490,-73.786661,42.664297
818,Sarah Lawrence College,2165.0,1335.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,69.0,72.0,Bronxville,NY,10708,-73.843727,40.9355
819,Siena College,8082.0,5500.0,734.0,77.0,38.0,500.0,600.0,520.0,620.0,480.0,590.0,22.0,27.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,80.0,53.0,Loudonville,NY,12211-1462,-73.7526,42.717602
820,Skidmore College,8285.0,2904.0,660.0,78.0,31.0,560.0,680.0,570.0,670.0,570.0,690.0,26.0,30.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,86.0,61.0,Saratoga Springs,NY,12866,-73.785335,43.097035
821,Saint John Fisher College,4016.0,2521.0,521.0,96.0,47.0,480.0,570.0,510.0,600.0,460.0,560.0,22.0,27.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,72.0,60.0,Rochester,NY,14618-3597,-77.513056,43.116259
822,SUNY College of Technology at Alfred,5761.0,3165.0,1101.0,69.0,24.0,470.0,570.0,530.0,610.0,0.0,0.0,21.0,26.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,49.0,40.0,Alfred,NY,14802,-77.794632,42.255262
823,SUNY College of Technology at Canton,3391.0,2653.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,29.0,56.0,Canton,NY,13617-1098,-75.182906,44.604096000000006
824,SUNY College of Technology at Delhi,4846.0,2843.0,935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,45.0,53.0,Delhi,NY,13753-1100,-74.924612,42.269859000000004
825,SUNY College of Agriculture and Technology at Cobleskill,2765.0,2021.0,781.0,80.0,6.0,450.0,540.0,450.0,540.0,0.0,0.0,16.0,22.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,44.0,52.0,Cobleskill,NY,12043,-74.49825799999999,42.672534000000006
826,Farmingdale State College,5401.0,2843.0,1190.0,93.0,19.0,430.0,510.0,450.0,540.0,0.0,0.0,19.0,23.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,43.0,42.0,Farmingdale,NY,11735-1021,-73.42832,40.754224
827,SUNY at Albany,21178.0,11744.0,2568.0,91.0,26.0,490.0,580.0,520.0,610.0,0.0,0.0,22.0,26.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,66.0,48.0,Albany,NY,12222,-73.824662,42.685489000000004
828,University at Buffalo,23093.0,13053.0,3669.0,72.0,32.0,500.0,600.0,550.0,660.0,0.0,0.0,23.0,28.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,72.0,46.0,Buffalo,NY,14260-1660,-78.789458,43.000941999999995
829,Stony Brook University,30300.0,11963.0,2709.0,88.0,26.0,550.0,650.0,600.0,700.0,540.0,650.0,26.0,30.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,66.0,46.0,Stony Brook,NY,11794-0701,-73.12046,40.91476
830,SUNY College of Environmental Science and Forestry,1538.0,777.0,288.0,89.0,48.0,520.0,620.0,540.0,640.0,0.0,0.0,23.0,27.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,71.0,43.0,Syracuse,NY,13210,-76.138724,43.034765
831,SUNY at Fredonia,5883.0,3032.0,1007.0,82.0,27.0,470.0,570.0,470.0,580.0,0.0,0.0,21.0,26.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,64.0,55.0,Fredonia,NY,14063-1136,-79.337375,42.452236
832,SUNY College at Geneseo,9164.0,4184.0,997.0,57.0,42.0,580.0,690.0,600.0,700.0,0.0,0.0,27.0,29.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,78.0,58.0,Geneseo,NY,14454-1465,-77.821894,42.796645
833,State University of New York at New Paltz,12892.0,5620.0,1119.0,92.0,25.0,510.0,610.0,520.0,610.0,510.0,600.0,23.0,27.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,70.0,63.0,New Paltz,NY,12561-2443,-74.082188,41.740936
834,SUNY Oneonta,10261.0,5205.0,1119.0,91.0,40.0,500.0,580.0,520.0,600.0,490.0,580.0,22.0,25.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,70.0,60.0,Oneonta,NY,13820-4015,-75.063632,42.468861
835,SUNY College at Oswego,10351.0,5034.0,1508.0,96.0,33.0,520.0,590.0,520.0,590.0,0.0,0.0,22.0,26.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,58.0,52.0,Oswego,NY,13126,-76.540798,43.454287
836,SUNY College at Potsdam,4764.0,3257.0,821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,51.0,57.0,Potsdam,NY,13676-2294,-74.973815,44.662147999999995
837,SUNY at Purchase College,8405.0,2790.0,775.0,95.0,22.0,500.0,600.0,480.0,580.0,490.0,600.0,21.0,26.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,60.0,56.0,Purchase,NY,10577-1400,-73.701955,41.047222999999995
838,SUNY College at Old Westbury,3341.0,1939.0,410.0,82.0,7.0,450.0,530.0,470.0,550.0,430.0,520.0,19.0,22.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,36.0,58.0,Old Westbury,NY,11568-0210,-73.571907,40.799021
839,SUNY College at Plattsburgh,8193.0,3739.0,954.0,89.0,29.0,460.0,550.0,470.0,570.0,0.0,0.0,20.0,24.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,60.0,56.0,Plattsburgh,NY,12901-2681,-73.466536,44.69293
840,SUNY Empire State College,1484.0,1195.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,16.0,62.0,Saratoga Springs,NY,12866-4391,-73.782484,43.077283
841,SUNY Maritime College,1279.0,818.0,331.0,90.0,38.0,450.0,570.0,480.0,600.0,430.0,560.0,20.0,26.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Public,50.0,11.0,Throggs Neck,NY,10465-4198,-73.795309,40.807217
842,Syracuse University,28269.0,13990.0,3487.0,81.0,33.0,500.0,620.0,540.0,650.0,520.0,630.0,23.0,28.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,81.0,55.0,Syracuse,NY,13244,-76.136975,43.040176
843,Teachers College at Columbia University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,0.0,0.0,New York,NY,10027,-73.960194,40.810216
844,Touro College,1732.0,1016.0,859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,48.0,69.0,New York,NY,10018,-73.98940400000001,40.753199
845,Excelsior College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,0.0,57.0,Albany,NY,12203-5159,-73.862981,42.705487
846,United States Merchant Marine Academy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York,US Service schools,Four or more years,Public,74.0,15.0,Kings Point,NY,11024-1634,-73.76300400000001,40.81357
847,Utica College,3689.0,3151.0,489.0,87.0,23.0,410.0,520.0,420.0,530.0,400.0,500.0,18.0,23.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,47.0,61.0,Utica,NY,13502-4892,-75.27291600000001,43.096213
848,Vassar College,7597.0,1832.0,666.0,75.0,40.0,660.0,740.0,650.0,730.0,660.0,750.0,30.0,33.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,94.0,56.0,Poughkeepsie,NY,12604,-73.895088,41.686895
849,Wagner College,2942.0,2056.0,430.0,64.0,14.0,530.0,630.0,520.0,640.0,520.0,620.0,22.0,27.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,61.0,65.0,Staten Island,NY,10301-4495,-74.092913,40.615588
850,Wells College,2214.0,1321.0,161.0,88.0,32.0,480.0,600.0,470.0,590.0,460.0,560.0,21.0,26.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,58.0,66.0,Aurora,NY,13026-0500,-76.696028,42.742943
851,Yeshiva University,1575.0,1294.0,857.0,66.0,36.0,550.0,680.0,550.0,690.0,540.0,670.0,23.0,29.0,New York,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,85.0,47.0,New York,NY,10033-3299,-73.929873,40.850605
852,Appalachian State University,12248.0,7744.0,3028.0,88.0,19.0,520.0,620.0,540.0,620.0,500.0,590.0,24.0,28.0,North Carolina,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,69.0,53.0,Boone,NC,28608,-81.680583,36.215536
853,Barton College,2933.0,1225.0,217.0,77.0,63.0,410.0,500.0,430.0,520.0,390.0,480.0,18.0,22.0,North Carolina,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,48.0,69.0,Wilson,NC,27893-7000,-77.91386700000001,35.734376
854,Belmont Abbey College,2197.0,1485.0,283.0,66.0,37.0,428.0,540.0,440.0,530.0,0.0,0.0,18.0,24.0,North Carolina,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,38.0,58.0,Belmont,NC,28012-1802,-81.041315,35.260651
855,Bennett College,1639.0,1354.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North Carolina,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,44.0,100.0,Greensboro,NC,27401-3239,-79.77998000000001,36.067531
856,Brevard College,2299.0,1032.0,245.0,76.0,48.0,420.0,520.0,430.0,530.0,0.0,0.0,18.0,22.0,North Carolina,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,43.0,38.0,Brevard,NC,28712,-82.72949399999999,35.236763
857,Campbell University,11714.0,8180.0,788.0,84.0,43.0,380.0,655.0,385.0,645.0,390.0,650.0,17.0,27.0,North Carolina,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,49.0,50.0,Buies Creek,NC,27506,-78.738238,35.409149
858,Catawba College,3226.0,1309.0,342.0,100.0,0.0,430.0,540.0,440.0,560.0,0.0,0.0,0.0,0.0,North Carolina,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,53.0,52.0,Salisbury,NC,28144,-80.48275100000001,35.691443
859,Chowan University,3708.0,2282.0,474.0,72.0,39.0,360.0,430.0,340.0,440.0,340.0,420.0,14.0,17.0,North Carolina,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,24.0,53.0,Murfreesboro,NC,27855,-77.099141,36.436258
860,Davidson College,4745.0,1215.0,483.0,79.0,52.0,630.0,730.0,600.0,710.0,610.0,710.0,29.0,33.0,North Carolina,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,92.0,50.0,Davidson,NC,28035,-80.843979,35.499767
861,Duke University,30374.0,4077.0,1714.0,79.0,45.0,670.0,760.0,690.0,790.0,680.0,780.0,30.0,34.0,North Carolina,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,94.0,50.0,Durham,NC,27708,-78.937624,36.001135
862,East Carolina University,15535.0,9658.0,4015.0,85.0,15.0,480.0,550.0,500.0,570.0,450.0,540.0,21.0,24.0,North Carolina,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,56.0,59.0,Greenville,NC,27858-4353,-77.368291,35.607186
863,Elizabeth City State University,3925.0,2243.0,527.0,96.0,3.0,380.0,450.0,400.0,470.0,370.0,440.0,16.0,18.0,North Carolina,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,42.0,59.0,Elizabeth City,NC,27909,-76.21404100000001,36.277978000000004
864,Elon University,9949.0,5370.0,1474.0,78.0,22.0,560.0,660.0,560.0,660.0,560.0,660.0,23.0,26.0,North Carolina,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,82.0,59.0,Elon,NC,27244-2010,-79.50344,36.104147999999995
865,Fayetteville State University,4010.0,2204.0,612.0,89.0,7.0,380.0,450.0,400.0,470.0,360.0,430.0,17.0,19.0,North Carolina,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,32.0,69.0,Fayetteville,NC,28301-4298,-78.891696,35.073640999999995
